record_key,os,chipset,cpu,gpu
99a675d340236d3680ac1c71009dda172317439aa8a28ed781eaebd8535a670d,"Android 12, upgradable to Android 14, ColorOS 14",Qualcomm SM6225 Snapdragon 680 4G (6 nm),Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),Adreno 610
290eda6ec340f96f3659a4e01214ebf99991c2e82c7baf4565f457e6108142fa,"Android 14, upgradable to Android 15, ColorOS 15",Mediatek Dimensity 7050 (6 nm),Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MC4
237629b760ca3e3e260e79952f3ad61a3718068a8f902f689a38903658f830d7,"Android 14, upgradable to Android 15, ColorOS 15",Mediatek Dimensity 7050 (6 nm),Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MC4
1550a41eb312ca70a21daf3d3acbb1485fdc657529ed64c7d7420013930e7c15,"Android 16, up to 5 (EU) / 3 (IN) major OS updates, Realme UI 7.0",Mediatek Dimensity 7300 Max (4 nm),Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2
5cd0b5087473cd14112d08034c9d4548a3cfaf63ad9c40d89cdd788b70ed4d59,"Android 10, upgradable to Android 11, Realme UI 2.0",Qualcomm SM7125 Snapdragon 720G (8 nm),Octa-core (2x2.3 GHz Kryo 465 Gold & 6x1.8 GHz Kryo 465 Silver),Adreno 618
b949b471015abc7c3b351a1776b32f34a2a4fe0078609541972530e3e044d31b,Android 16,Unisoc T7250 (12 nm),Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1
7c185f2d927bb9a2cc3268517f37b4f77553bc1c957857a55c1510f38bd1e8a1,"Android 13, Realme UI T",Unisoc Tiger T612 (12 nm),Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G57
74cfdff5d75f29450cf445790521db912c7ae1808986d0d0b9f5c2ada3ab00d6,Android 14,Unisoc Tiger T612 (12 nm),Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G57
5158e4a7ae7052e0c0a25961ce016d3dadb64041a43ba60c2dcc839d42f29bf2,"Android 14, Realme UI",Qualcomm SM6225 Snapdragon 685 (6 nm),Octa-core (4x2.8 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),Adreno 610
cc82dcf2f9f934951d147bbd4db58cdc64bd7f0ea0e53d99f4d16673afea4bbe,"Android 15, realme UI 6.0",Qualcomm® Snapdragon™ 685 Mobile Platform,8 Cores,Adreno 610@1.26GHz
85deb17819703c8a2b72ef84c4f4c2bf16a5198c3bf1bdab88af8553b713ba4d,"Android 13, Realme UI T",Unisoc Tiger T612 (12 nm),Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G57
90d6a2abd9a4f9daf6719fe211d82ebbd7e7229919105866881970939b804883,"Android 16, Realme UI 7.0",Mediatek Dimensity 6300 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2
bdf0b8709ce7ece9511a757e66c5478af4dc57597039cb24ddba65c0da62d832,"Android 12, MIUI 13",Mediatek MT6769Z Helio G85 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2
d67f60d6a9f191e5ad9a61a12e75f55c875539ca6233228753d7767f77bf82cb,"Android 12 or 13 (Go edition), MIUI",Mediatek Helio G36 (12 nm),Octa-core (4x2.2 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53),PowerVR GE8320
f125729dac65fea964f35ab67e756e5f51a3a3e28b202494f301701646ead02a,"Android 14 or Android 14 (Go edition), upgradable to Android 15",Mediatek Helio G36 (12 nm),Octa-core (4x2.2 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53),PowerVR GE8320
10ab98030450c7c19db32494aaff90c8d6ba3b260ed9d1d7802a10b3991a0b61,"Android 13, upgradable to Android 14, HyperOS",Qualcomm SM6225 Snapdragon 685 (6 nm),Octa-core (4x2.8 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),Adreno 610
2d1e1481797ec3df7cad855c625dd0a4c916e3f1d61ac20e2c0951b5ae1fa3b0,"Android 13, upgradable to Android 16, HyperOS 3",Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm),Octa-core (4x2.40 GHz Cortex-A78 & 4x1.95 GHz Cortex-A55),Adreno 710
9912446ca221c308265d86df4cd39d4a8db153928c98b95701e626af7e20647a,"Android 14, HyperOS",Mediatek Helio G100 Ultra (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2
f6746dfe4af20be8922cf739a7f59ae0a05ee4083da287ee10a581f4b6e2565e,"Android 13, MIUI 14",Mediatek MT6781 Helio G96 (12 nm),Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2
8195f7c5c3f8c98de40761bdf030c2d813df9eed4529e1491202c5dc0cd7d35c,"Android 12, upgradable to Android 13, One UI Core 5.0",Mediatek MT6765 Helio P35 (12 nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320
67db11b9acdbba31624b06183045531c2485db5d5bdee95a33333665e066cfbc,"Android 12, upgradable to Android 14, One UI 6.1",Exynos 850 (8 nm),Octa-core (4x2.0 GHz Cortex-A55 & 4x2.0 GHz Cortex-A55),Mali-G52
56b0fec02448f91243cb22cffafa023ee50c4fb03d7ec9aa73717fa50d9f9d00,"Android 13, up to 2 major Android upgrades, One UI 7",Qualcomm SM6225 Snapdragon 680 4G (6 nm),Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),Adreno 610
5c02241ece6ed0f915531fde16e4195b308323013471818497f243bdb74c7694,"Android 14, up to 4 major Android upgrades, One UI 8.5",Exynos 1280 (5 nm),Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68
03cf5bf9d6b833baabc692848d4318071990b6439cf0687a4ed309da1090cec1,Android 16,Mediatek Helio,Octa-core,Not specified
