record_key,data_snapshot,name,url,sound_loudspeaker,sound_cable_jack,colors_json,weight,price_json,source_file,file_sha256,completeness_score
a6860572b22d3702b81231c2a53be5263e3f0f0ea287d97d2efd440b5ed8817e,2026-08-14T11:05:28+00:00,Itel P55 Plus,https://mymobile.pk/products/itel-p55-plus/,Yes,true,"[""Royal Green"",""Galaxy Blue"",""Meteor Purple""]",Weight Unknown,[32999.0],mymobile.pk/mymobile__itel-p55-plus.json,36e821d411226390b7de917bc459ba9d997d1fa8ff015da1d1a22f7b7590fe11,0.87500
97d3bd819fdc0a391154449727a68761a793ce547b49e92ad6f00f9a38e9f79f,2026-08-14T11:04:47+00:00,Itel Power 80,https://mymobile.pk/products/itel-power-80/,Yes,true,"[""Thundra green"",""Rock black""]",Weight Unknown,[39999.0],mymobile.pk/mymobile__itel-power-80.json,7f5f0e286b7456c6675cb09583da7bd507c0977ee2d7e0fe40e64aaa3173d780,0.83333
012fe72c161b3c4165cd30f7837da682a14ed7889900de9e1b91b420340ebc6f,2026-08-14T11:04:56+00:00,Itel S23 Plus,https://mymobile.pk/products/itel-s23-plus/,Yes,false,"[""Black"",""Cyan""]",Weight Unknown,[32799.0],mymobile.pk/mymobile__itel-s23-plus.json,cdf9a34c88ce4e5ad8e8eb3f25f5fa0506a25ecac5c5589f14e0e198f7930450,0.91667
4b6748eeff86c9be0261dbe7bd33d9018ebefb6579b62b900c1ba74abfa50401,2026-08-14T11:02:30+00:00,Itel S23,https://mymobile.pk/products/itel-s23/,Yes,true,"[""Starry Black"",""Mystery White""]",Weight Unknown,[24999.0],mymobile.pk/mymobile__itel-s23.json,a23ec83b3911f6c67e909009a50931437f18654b435a274f2d5871e3dd3b143d,0.91667
79ca26acd14a2ce3dd948f0874968c622244356ada818abb169af3d7f38f0491,2026-08-14T10:59:50+00:00,Motorola Moto G77,https://mymobile.pk/products/motorola-moto-g77/,"Yes, with stereo speakers (with Dolby Atmos)",false,[],Weight Unknown,[92999.0],mymobile.pk/mymobile__motorola-moto-g77.json,6ee123a93b466353b22692ec79fe9f97565c7fd76673c16d00e955fb0fcce8ca,0.87500
851afc357823cdda4a9a42ca5f0d4c0e118d43155b2a9005f1d89b5a6d1030f5,2026-08-14T11:01:04+00:00,Nokia G21,https://mymobile.pk/products/nokia-g21-1/,Yes,true,"[""Nordic Blue"",""Dusk""]",Weight Unknown,[18999.0],mymobile.pk/mymobile__nokia-g21-1.json,9c38aef170018df967d894172ae7ad8328b789d660c7691c69757acdab1850d9,0.91667
42aeffe211dcca3faf7e1c777534538bd5c171754b5d06210a08962356b556a9,2026-08-14T11:03:14+00:00,Oppo A16e,https://mymobile.pk/products/oppo-a16e/,Yes,true,"[""Black"",""Blue"",""White""]",Weight Unknown,[28499.0],mymobile.pk/mymobile__oppo-a16e.json,1ddbaef5fcf41c2e376b2948dcba4fa0d7c4852f470defbf86c6b73134fd23a4,0.91667
93ee8dadac86e6ab7b20ad6356d9c9a8779519ce6de45e7f370d098af97a6d59,2026-08-14T11:05:06+00:00,Oppo A16K,https://mymobile.pk/products/oppo-a16k/,Yes,true,"[""Black"",""Blue""]",Weight Unknown,[33499.0],mymobile.pk/mymobile__oppo-a16k.json,27b2dc755ec9cc8135c99fd91b7d53a0a69f75a8024908bb0367c702e43cbd06,0.91667
b7a58e69da0f3277a1cafafdbfaf6d039e37c2001f1bde4fdfec102f392222a7,2026-08-14T11:05:00+00:00,Oppo A17,https://mymobile.pk/products/oppo-a17/,Yes,true,"[""Midnight Black"",""Lake Blue"",""Sunlight Orange""]",Weight Unknown,[31999.0],mymobile.pk/mymobile__oppo-a17.json,7f5c3bf60a0fabca00ab0271f7a2442c5f644433033aff607ce72341ac6e9510,0.91667
447c68d038da2f7ed01920664a5691a8d1fd108661fe32c3ec550d0b5e522090,2026-08-14T11:07:07+00:00,Oppo A57,https://mymobile.pk/products/oppo-a57/,"Yes, with stereo speakers",true,"[""Black"",""Blue"",""Lilac""]",Weight Unknown,[50399.0],mymobile.pk/mymobile__oppo-a57.json,ab9ae447d024e9e28a7ec445efd570e29482bdccb29f959d9a027c13f4f5b7fb,0.91667
