record_key,2g,3g,4g,5g
42935071e3b5dd40475917176edab7e38ba122d89aff08136caaf851d44d08b5,true,true,true,false
50a54cdb89b576704c5ef8c6f643308f0782f1f1f1aab80e610c1432ceb38321,true,true,true,false
a7f0b414b79bad68b217ba261e0869268ff7776337c2e41a9f17001f881cd487,true,true,true,true
80b1b5d6746387c176ca4baf2ed30740a92d08ad1118b960a584008e1f98d1d0,true,true,true,false
6d9b506fb3e0bd095878d0f1554e04fb7ce5d72f4efbd55d50e9e5fdd783b38d,true,true,true,true
898e9e9fccce84e9a65a8675a5098e506572a1be049f37a9b67ad36fed3cf46d,true,true,true,true
48e05c7684304b53671580cd3471d12249aa8f28a3f92c53ff2562413a9988c2,true,true,true,true
1017bc3a83c563bfd456fdedc562b333b3a4c9f6c94ff5f18a582cc0827719ac,true,true,true,true
f2282414beb59035d1d1cd61b7939d19874edac205ecb0c0e5026258e487aff2,true,true,true,true
0552705b0ed0ab1c8b375618cd85a26357391e22337b0bef4d5b32b4f3ceb211,true,true,true,true
0476a1bd91b56692bf90bebeae9ac43ae0649755bd68a6d6d97ba5abeadf5208,true,true,true,false
5c48b78729b2382900cb21be49c2b964e408fa6ebc6e3af85d5965ffd9bc8dd0,true,true,true,false
acc00caec9e3f6f2683de16afe396838a703c3d94fb8dfd6a0582b78bda22c0e,true,true,true,false
0c2e16185adc90d74d8e543afdb61159f67907214a500dca1255844ffaf76532,true,true,true,true
d6258340c0cdfaa37149a9c866739626f08b44b8dbee769c5e3c986307ebfd11,true,true,true,false
6b1d4368838f3ae6a0cbf55e573873d6f70202417140a0f8e25da585a520d10c,true,true,true,false
0ae85f58df1ecd24fb888b6b2011d70be4f688e0eab7b89428fdaca105576710,true,true,true,false
9ec75565cd49b849bac61d0c918ecc28799865705efd53fcb4c2ed81df77430c,true,true,true,false
2a3939d09cc290f5e5f24660699dd3ed2bd4c3b60c113c5d4f8dfb1cfd9b5ab9,true,true,true,false
67718b01eed88cb7e11ce2bcd984a4b9a0184e39add623edb597a929523ee0e9,true,true,true,true
d6b48bef27ea15a79d2b5d2b2ddae3264412b440a03c818ba890a631071b5f5c,true,true,true,false
da0fd0827071c34eaf63199e0482288ed81e74f9ca3b6f2bf06dae8f1ca0d3ab,true,true,true,false
d23d66b128f7671e006356693f47aef0bd9ea7c349729cf5067458915a65cf1f,true,true,true,false
e90b91703461adb5350ce9493753350455c80d4fc76447e284ed076c1106b244,true,true,true,false
10384bbcc1af986315c97b98f2fe52a95ee4b2758ce2a1df3048f736e4d625db,true,true,true,false
01b68a670862d23c1a4b2e491dba95308becce2a1c8d3fc531fc2be8a9283b88,true,true,true,false
b40c3c3d5f614cc3b6b5d468987340cc6139b22b192dea93c41476a970a48247,true,true,true,true
ed05bd8f6d9d13047b266c34e20f02c108451606327c01498ec1cb057c7a4d22,true,true,true,true
8e10517736cf4542ff3b069e517fc1007fcd4091d841073ccb958b20bf2b0ac8,true,true,true,true
4b23bd3b2fd9e8e3c0871c86fc6b95a854148640a57072ddfcd7c64fb4ca6288,true,true,true,false
