record_key,os,chipset,cpu,gpu
91c111a97e75c0b6d6f8c8d4f9d4de04381beda91742a625ad792a27dba32a85,Android 16 OS,Unisoc T7250 (12 nm),Octa-core (2 x 1.8 GHz Cortex-A75 + 6 x 1.6 GHz Cortex-A55),Mali-G57 MP1
a5194f76da0e91245673ebf641d3b08109bae4889ccc94bd61f6c9b949a4f6a3,Android 15 OS,Unisoc T7300 (6 nm),Octa-core (2 x 2.2 GHz Cortex-A78 + 6 x 2.0 GHz Cortex-A55),ARM Mali-G57 MP2
83c2c1555a3be7db081b424f247d6302a0c7b3ec10b980fe639184c503dfe064,"Android 15 OS, up to 3 major Android upgrade",Mediatek Dimensity 7300 Pro (4 nm),Octa-core (2 x 2.8 GHz Cortex-A715 + 6 x 2.0 Cortex-A510),Mali-G615 MC2
4f29f863b9a0f34c1324566df37f289cbec6ba80976b5ebbea174e7ce8a8b020,"Android 15 OS,up to 3 major Android upgrades",Mediatek Dimensity 7300 Pro (4 nm),Octa-core (4 x 2.5 GHz Cortex-A78 + 4 x 2.0 GHz Cortex-A55),Mali-G615 MC2
c0091215d0dcebf2d6172595d189efe6ce83870d434dfea0ed7c17ac516d9405,"Android 15 OS, upgradable to Android 16",Qualcomm SM7635 Snapdragon 7s Gen 3 (4 nm),Octa-core (1 x 2.5 GHz Cortex-A720 + 3 x 2.4 GHz Cortex-A720 + 4 x 1.8 GHz Cortex-A520),Adreno 810
89bfe71d5ee89015a60b8a2b3187f9587d12e861c00a947410ec7795378ff292,"Android 15 OS, upgradable to Android 16",Qualcomm SM7635 Snapdragon 7s Gen 3 (4 nm),Octa-core (1 x 2.5 GHz Cortex-A720 + 3 x 2.4 GHz Cortex-A720 + 4 x 1.8 GHz Cortex-A520),Adreno 810
13f3b11875c13d3624e2975e9f8df76c9ea6ef8e560a9d10d7387e42b67a90c7,Android 16 OS,Qualcomm SM7750-AB Snapdragon 7 Gen 4 (4 nm),Octa-core (1 x 2.8 GHz Cortex-720 + 4 x 2.4 GHz Cortex-720 + 3 x 1.8 GHz Cortex-520),Adreno 722
a484a0b3d5153115a95acc9463f1142ee6068b796801e7b59991abbc6b27a0bc,Android 16 OS,Qualcomm SM7635-AC Snapdragon 7s Gen 4 (4 nm),Octa-core (1 x 2.7 GHz Cortex-A720 + 3 x 2.4 GHz Cortex-A720 + 4 x 1.8 GHz Cortex-A520),Adreno 810
874860fd82ea6b96910e95e507108ccb61e387a40410e2a1b62dc8dd45031e14,Android 15 OS,Qualcomm SM-6115 Snapdragon 6s 4G Gen1 (11 nm),Octa-core (4 x 2.1 GHz Cortex-A73 + 4 x 1.8 GHz Cortex-A53),Adreno 610
047e5d40e9b76fc1e4f5a32869cd2ec56ba94005195216f3711c0ff2e52dbdd0,Android 15 OS,Qualcomm SM-6115 Snapdragon 6s 4G Gen1 (11 nm),Octa-core (4 x 2.1 GHz Cortex-A73 + 4 x 1.8 GHz Cortex-A53),Adreno 610
583c0b6bb846b06bb536e0f0dfcbc6546eeb3931dbe947d065d8f5af61a9f1a6,Android 15 OS,Qualcomm SM-6115 Snapdragon 6s 4G Gen1 (11 nm),2.1 Ghz Octa Core,Adreno 610
4d98910a0077b235644868d9af092523886c100a68acb9b29f714d949add965a,Android 15 OS,Qualcomm Snapdragon 685,Octa Core,Adreno 610
f5114d8f15495fa9b34df9e175f2607f659a35cab4489f5b8c38be19a5c500cd,Android 15 OS,Mediatek Helio G100 (6 nm),Octa-core (2 x 2.2 GHz Cortex-A76 + 6 x 2.0 GHz Cortex-A55),Mali-G57 MC2
c3de8c0847f7a2aa4849f295bd48b35c739300c56604676cdf37c1f42d1a4324,Android 15 OS,Mediatek Helio G100 (6 nm),Octa-core (2 x 2.2 GHz Cortex-A76 + 6 x 2.0 GHz Cortex-A55),Mali-G57 MC2
09f7fddd5d25ab68a14ab5cc973eb4cdd59cb92e67bf33a49c31c4146fee70c6,Android 16 OS,Unisoc T7250 (12 nm),Octa-core (2 x 1.8 GHz Cortex-A75 + 6 x 1.6 GHz Cortex-A55),ARM Mali-G57 MP1
fcba7aba3939c0ace7cbbd34d1baa2f7bc0875bcaf9e428d620b28ac5ecbe006,Android 15 OS,Qualcomm SM6225 Snapdragon 685 (6 nm),2.8 Ghz Octa Core,Adreno 610
8a67707b5e1cd6fdc94015871b2726fe2765eb15d480b076725e895625e40a07,Android 15 OS,Qualcomm SM6225 Snapdragon 685 (6 nm),2.8 Ghz Octa Core,Adreno 610
