record_key,data_snapshot,name,url,sound_loudspeaker,sound_cable_jack,colors_json,weight,price_json,source_file,file_sha256,completeness_score
4b8d2512aaa2a8fc245d0ea0cda7e2100f5284ce2849e5dc70667113713b5c27,2026-08-14T07:47:38+00:00,Oppo Reno 15 512GB,https://www.whatmobile.com.pk/Oppo_Reno-15-512GB,Speaker Phone,false,"[""Twilight Blue"",""Aurora White""]",Weight Unknown,[189999.0],whatmobile.com.pk/whatmobile__Oppo_Reno-15-512GB.json,70a8e303960eac2b0f0245ed55f289a5762f9aa91229816626fb569cc6ac6747,0.87500
04cf26efc2467f7d7e62f46e9945dc84d1cead713066faf1c59fb7026daf87f5,2026-08-14T07:53:15+00:00,Oppo Reno 15 Pro,https://www.whatmobile.com.pk/Oppo_Reno-15-Pro,"24-bit/192kHz audio, Speaker Phone",false,"[""Dusk Brown"",""Aurora Blue""]",Weight Unknown,[249999.0],whatmobile.com.pk/whatmobile__Oppo_Reno-15-Pro.json,6981404c4539c083a855a35717fae72ac22a31885e3610f4d10f0db753172740,0.87500
2601edd26a87527a49071ec3b6d20e662bc7e35c1149365d4a9e07d208942732,2026-08-14T07:48:40+00:00,Oppo Reno 15F,https://www.whatmobile.com.pk/Oppo_Reno-15F,"24-bit/192kHz audio, Speaker Phone",false,"[""Twilight Blue"",""Aurora Blue""]",Weight Unknown,[134999.0],whatmobile.com.pk/whatmobile__Oppo_Reno-15F.json,f27b937ede33dfac09dcdd88fa633571248aae736d617b82ae4a0f9b8f04d9f0,0.87500
dd20c46956095267896777241f11412448f591aacde3bbe59275a7461a916797,2026-08-14T07:50:00+00:00,Realme 16 Pro Plus,https://www.whatmobile.com.pk/Realme_16-Pro-Plus,Speaker Phone,false,"[""Master Gold"",""Master Grey""]",Weight Unknown,[199999.0],whatmobile.com.pk/whatmobile__Realme_16-Pro-Plus.json,976f010c8a53e9e2d53451f130c65d3b0560529454632e8eac720de143418243,0.87500
8a1b4e658a4924becc155ade37432f6ada5aa66ed5eb4bfdbe2038c8bf7f587c,2026-08-14T07:50:07+00:00,Realme 16 Pro,https://www.whatmobile.com.pk/Realme_16-Pro,Speaker Phone,false,"[""Orchid Purple"",""Pebble Grey""]",Weight Unknown,[169999.0],whatmobile.com.pk/whatmobile__Realme_16-Pro.json,8b034d1e01c5be575dba4f351bd3ee92e736472068e04b459e5e456e6fa04fee,0.87500
671cece05efe4ce2f9804669b1ad946753c41f843953429c027d0e6c4353638e,2026-08-14T07:42:20+00:00,Realme C100i 128GB,https://www.whatmobile.com.pk/Realme_C100i-128GB,"3.5mm Audio Jack, Speaker Phone",true,"[""Dawn Purple"",""Dusk Gray""]",Weight Unknown,[46999.0],whatmobile.com.pk/whatmobile__Realme_C100i-128GB.json,36758ecaeec4bbc5ea99eb5be41e5d475eac6c577d9b8f9a727db2af538ff003,0.87500
2e14abf32d6ca77541ef662ffa6ca8b5ffe790b6a69c038b33a37ec6934973e4,2026-08-14T07:42:14+00:00,Realme C100i 6GB,https://www.whatmobile.com.pk/Realme_C100i-6GB,"3.5mm Audio Jack, Speaker Phone",true,"[""Dawn Purple"",""Dusk Gray""]",Weight Unknown,[56999.0],whatmobile.com.pk/whatmobile__Realme_C100i-6GB.json,98caec1e53380265305ac7251c822456909123fbf0818a2d9fe775b9dbf6e332,0.87500
db9277edba0a3f4bf3457f3b2935a5b1d11599fb22b578534685fc14fc6684b8,2026-08-14T07:48:13+00:00,Realme C85 256GB,https://www.whatmobile.com.pk/Realme_C85-256GB,"3.5mm Audio Jack, Speaker Phone",true,"[""Green"",""Purple""]",Weight Unknown,[64999.0],whatmobile.com.pk/whatmobile__Realme_C85-256GB.json,eaaf089b575767c9a636696595bafdf9ce39ec7c9211e3940d49a15c8ab5b1e6,0.87500
ea0b438dacdefaa91e0868b25396132c4d629ef033a28687aa37d4787593baee,2026-08-14T07:50:33+00:00,Realme C85 Pro 256GB,https://www.whatmobile.com.pk/Realme_C85-Pro-256GB,"3.5mm Audio Jack, Speaker Phone",true,"[""Parrot Purple"",""Peacock Green""]",Weight Unknown,[64999.0],whatmobile.com.pk/whatmobile__Realme_C85-Pro-256GB.json,3183f4f0ce9adabaff1ba4b14da4adf15b5e3017f9e8183f4f14bcecc32fbf10,0.87500
47022f3936dae5f65de88a20c9c4d52d7f890496ba652450a079e4c6664088c6,2026-08-14T07:50:38+00:00,Realme C85 Pro,https://www.whatmobile.com.pk/Realme_C85-Pro,"3.5mm Audio Jack, Speaker Phone",true,"[""Parrot Purple"",""Peacock Green""]",Weight Unknown,[61999.0],whatmobile.com.pk/whatmobile__Realme_C85-Pro.json,9750943f5388e09f61e9267a26642b2176b9146625c019fcf67a9a93b58f9567,0.87500
