record_key,card_slot,technology,types_json
06bfc36940b09cf3390ed5d361e3b135a19761529880923232a394637bfffecf,microSDXC,"128GB Built-in, 4GB RAM","[""128GB Built-in"",""4GB RAM""]"
304ae24508f9f71596d2b69e716d338b7c9dfde7cd3e8176b022faec1d9ddeb4,microSD Card,"128GB Built-in, 4GB RAM","[""128GB Built-in"",""4GB RAM""]"
20c579d2cb42e8e0c9e4ce78444a2a84c673f1b776524bae825f1a05b6b88c2b,microSDXC (dedicated slot),"128GB Built-in, 6GB RAM (+8GB Extended RAM)","[""128GB Built-in"",""6GB RAM (+8GB Extended RAM)""]"
35106d23adf2f88e8c21504c3848848383f61408431e8d01950f75480051a7d3,microSDXC,"128GB Built-in, 4GB RAM, eMMC 5.1","[""128GB Built-in"",""4GB RAM"",""eMMC 5.1""]"
4a42bd60f4611f77d7c4defaa28d65cac6823395a81e89705e8f8eb51d507e32,microSDXC,"128GB Built-in, 6GB RAM","[""128GB Built-in"",""6GB RAM""]"
247056d786b08a36a8d37537c33b4447accaccd40414325fcec610a38e782688,microSDXC (uses shared SIM slot),"256GB Built-in, 8GB RAM","[""256GB Built-in"",""8GB RAM""]"
d8193e1a86d154110a833e815380f272b3796df63234e5b8423398413fc8b967,microSDXC (uses shared SIM slot),"128/256GB Built-in, 6/8GB RAM","[""128/256GB Built-in"",""6/8GB RAM""]"
d7285b46c06b880fc24db30508a7404d0d24e4a33d94d116b57adc179eae2d6f,No,"256GB Built-in, 8GB RAM, UFS","[""256GB Built-in"",""8GB RAM"",""UFS""]"
a6789d3461b371c678709b9788ec581233f533e6e23df12deec0dc8967ba9368,microSDXC (uses shared SIM slot),"256GB Built-in, 12GB RAM","[""256GB Built-in"",""12GB RAM""]"
aa107e0df2a31c69074f79377c87bfb8e5e3e7af494d861a68e58ed3a5c12927,No,"256GB Built-in, 12GB RAM, UFS","[""256GB Built-in"",""12GB RAM"",""UFS""]"
5c5e7c9855b0f4627ed07ca43133322296664dfb3a1baae9e5684fd6c3cf6c05,No,"512GB Built-in, 12GB RAM, UFS","[""512GB Built-in"",""12GB RAM"",""UFS""]"
6442be3f9b24f202069db69c38361cb47062f9778cb7cb57a1d445b84d6f7af1,"microSD Card, (supports up to 256GB)","128GB Built-in, 6GB RAM (+ 6GB Expandable RAM)","[""128GB Built-in"",""6GB RAM (+ 6GB Expandable RAM)""]"
be8fa653a7c71d690d2eb77abf9cc44ea51b9b949294b49c312e385cc1571a3b,Unspecified,"256GB Built-in, 8GB RAM","[""256GB Built-in"",""8GB RAM""]"
84957b6778275fa587013b80a287199599552ad390d554efd643c3a7c41d361a,No,"256GB Built-in, 12GB RAM(+12GB Extended RAM)","[""256GB Built-in"",""12GB RAM(+12GB Extended RAM)""]"
de7bf99032fd8ab6780baaf66cb7d5d30eb77bc586be93b9ab0ae90fdd5ac2d0,Unspecified,"256GB Built-in, 8GB RAM","[""256GB Built-in"",""8GB RAM""]"
43f19b71be2b9602c67b5f0d605c054491b8ad653921e6655e77530ca06b1223,Unspecified,"128GB Built-in, 4GB RAM (+4GB virtual RAM)","[""128GB Built-in"",""4GB RAM (+4GB virtual RAM)""]"
c4bc3440dc9bb78daa0129e81082337d12286b3a5592226b4fa9a961b6e9444d,microSDXC (dedicated slot),"128GB Built-in, 6GB RAM (+12GB Extended RAM)","[""128GB Built-in"",""6GB RAM (+12GB Extended RAM)""]"
73eb0f4c5856bdc594a1ff8c44d34dbdb9fd5b3547bc9f067d15702911b8cd5c,microSDXC,"64GB Built-in, 4GB RAM, eMMC 5.1","[""64GB Built-in"",""4GB RAM"",""eMMC 5.1""]"
5b4da1433330929f240ca32abf7f8ce7b541a5167df43173b6138267bdcada85,microSDXC (dedicated slot),"128GB Built-in, 4GB RAM","[""128GB Built-in"",""4GB RAM""]"
0a041421d6ee9d2fbd60825d249081870f88b53a367f839d08d260a44f9b27be,No,"512GB Built-in, 12GB RAM","[""512GB Built-in"",""12GB RAM""]"
3c5e649f38209669f9f05961d14d691e9cd12ed7a3efb4471a535ad934aa176a,No,"256GB Built-in, 12GB RAM, UFS 3.1","[""256GB Built-in"",""12GB RAM"",""UFS 3.1""]"
ce0156b771d9d55b9cbe267c12e5b0489c32de76904dba084846a197f5ba1ef5,No,"256GB Built-in, 8GB RAM, UFS 2.2","[""256GB Built-in"",""8GB RAM"",""UFS 2.2""]"
86fe7de219e1b322c02bdb102386588999aa727ebc55577b41684638952e1de4,Unspecified,"512GB Built-in, 12GB RAM, UFS 4.1","[""512GB Built-in"",""12GB RAM"",""UFS 4.1""]"
