record_key,type,size,resolution,protection
61545498b654a4741f06c864b7191e9ece2f25b531f4d10a1d18dc0a7c2cb490,,,,
1e84bb8c328d79fda8dd3bfe9c6c53de86f450b560854a734cdec4d035a78e58,,,,
14f1b6727fa8b752c2e13dce1ceb54ad0ee0f5f24f3acdcfcbee4959143a0674,AMOLED,,,
3adbec68f71b3e49929a0e9257c29411ac24cd7a564aa88336fab25f0094beeb,IPS LCD,6.74 Inches,720 x 1600 pixels,N/A
0b4d1f5e0bf73af179d01aad7aa7c076bb1f55dfdeb815a85a00244e94b0ae7a,,,,
01499871167e61886de9207467e6a24fb041412687811c654560b52fdde95cec,,,,
3adb60112724416bd08cc51c829ae6d439b07e5d1bd8dfd3a51a6794499ccb67,,,,
8f49fa7ee7a909ee15089407eca8c0ab7d3bcbb0ac8cce105af4ea21672ee277,,,,
9aa99023a59a1388f0f04a6a0869c36d36b011ff0987396b274b385946e74186,IPS LCD,6.82 inch,720 x 1612,
e68ecf7149a89d242ae306c90fb99d5a1c5f6e394f8ded1378f8adbe4b79d2f3,,,,
e4fe50651d4cb95ab38f8e1ac0753fb3c8fb588e6e01f9645920a8b629c019a7,IPS LCD,6.79 Inches,1080 x 2460 Pixels,N/A
b5e9d3438abf76f61dfe48721fe9f8ea13c78d5919ff144d68c30e226e5e0d54,LCD,,,
877be623b898cbfd46f421a9c0e400b677962db0a98df783b2388d19f5dd15ab,AMOLED,6.67 inches,FHD + (2400 × 1080),AGC DT-Star2
71eec2f28d4b4f9e47640945f983af000f2513abeae6132619e2461b1bda1e21,,6.59 inch,2760 × 1256,
300d4a05fc579971cb4aa6ccb9bf27fa3aed91609036f52cc6a8bd8bf8b17629,OLED,,,
96f91e1ac6ff077a06ccb93a2938a9f37e0b4791c80a7b3ac5b4b0c3867a5453,AMOLED,6.7 Inch,1080 x 2412,
54f1dc652210f3d5f66671170e21773aa06ec2bd5b4eabd6fc816df28fc2633e,AMOLED,,2392 × 1080,
1a394f1d30962cb4c512ed317877e8ac0de61a419238aa811988447507e3e552,Dynamic AMOLED,,2340 x 1080,
65a680252b31f5cbb59f2953ebbc54d8d5dcf954abbc53783133181138db446e,AMOLED,6.67 inches,1080 x 2400 Pixels (~395 PPI),Asahi Glass AGC DT-Star2
c3a19adcab78814abc9cfe0c3cf0f7ebc8888d2e267c1f0f1a5568d97e72a55e,AMOLED,6.77 Inch,1080 x 2392 Pixels (~388 PPI),
132152ea22ac90c95218781538c8d8c3b3b77a0c84cdd10e4569e645f33f3f80,Dynamic AMOLED,"6.2""",1080 x 2340 Pixels (~416 PPI),
