record_key,wlan,bluetooth,positioning,nfc,infrared_port,radio,usb,back_finger_print,side_finger_print,in_display_finger_print,sensors
aaf5a174fc1dafdfdc28167bc8c14f7469cae5d279ba58ec015ebeb517dc8c24,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE","GPS, GLONASS, GALILEO",true,false,true,"USB Type-C 2.0, OTG",false,true,false,"Fingerprint (side-mounted), accelerometer, proximity"
5c08512033cb1c305aa8cd49a09b1404b4ca656a17548cb315803ee87397828a,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE","GPS, GLONASS, GALILEO",true,false,true,"USB Type-C 2.0, OTG",false,true,false,"Fingerprint (side-mounted), accelerometer, proximity"
5a79fbe9b3b69ccac5e86b69d20e1bcaf53ab861fbd02dbd347e2b61381d930b,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",GPS (L1+L5),true,false,false,"USB Type-C 2.0, OTG",false,true,false,"Fingerprint (side-mounted), accelerometer, proximity"
5b6351568cb2d7420f79e745bd7c52f43493747d3b908b88ae54fe9e4146e6ef,Wi-Fi 802.11 b/g/n/ac,"5.1, A2DP, LE",GPS (L1+L5),false,false,false,"USB Type-C 2.0, OTG",false,true,false,"Fingerprint (side-mounted), accelerometer, proximity"
adf47cb638c2e72bfb1577a2af1a2a2f286f574ba6629c529e3ecd0b1d08614f,Wi-Fi 802.11 b/g/n/ac,"5.1, A2DP, LE, aptX HD, aptX Adaptive","GPS, GALILEO",true,false,true,"USB Type-C 2.0, OTG",false,true,false,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer"
0a8e2eed287552e453b18029eb4e3892afb675f09f6388572bcaafd1bfbec7b9,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.1, A2DP, LE","GPS, GLONASS, GALILEO, BDS",true,false,true,"USB Type-C 2.0, OTG",false,true,false,"Fingerprint (side-mounted), accelerometer, proximity, compass"
379c86312a94015ddf1b443c35488922b573fea0fd72747a8e3fd3febd2d3e66,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.1, A2DP, LE, aptX HD, aptX Adaptive","GPS, GALILEO, BDS",true,false,true,"USB Type-C 2.0, OTG",false,true,false,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass"
741f2c4dbc67d804a52074c56d66d8e46d59c526fb892ca1e114eef6d49d7d6f,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE","GPS, GLONASS, GALILEO",false,false,false,"USB Type-C 2.0, OTG",false,false,false,"Accelerometer, proximity"
e20223af7a9456010571420458f02cdafde148ae5e15b10d7313d532d9702e80,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",GPS - cellular model only,false,false,true,USB Type-C 2.0,false,false,false,Accelerometer
17c495b43d5ce4abcceb8a4b89e559b28f8143702ef2f097e6948f4f62e93fa6,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",GPS - cellular model only,true,false,true,"USB Type-C 2.0, OTG",false,false,false,"Accelerometer, proximity"
335b890270c2b689f33502cb15cb39f69d546b4e5f6f41a99d0eb3815ba012db,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE, aptX Adaptive","GPS, GLONASS, GALILEO",true,false,true,"USB Type-C 2.0, OTG",false,true,false,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer"
9625afae43e353d015a88b9a3df07b94e0f46584385c945039674f5d92861aa4,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.1, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO, BDS",true,false,true,"USB Type-C 2.0, OTG",false,false,true,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
222fa9903f2cf938f8b1f467243d5d729a8d3645f99f5cf1396a2c03269a6ae8,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.1, A2DP, LE, aptX Adaptive","GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5)",true,false,true,"USB Type-C 2.0, OTG",false,true,false,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer"
