record_key,card_slot,technology,types_json
5c08512033cb1c305aa8cd49a09b1404b4ca656a17548cb315803ee87397828a,microSDXC (uses shared SIM slot),UFS 2.2,"[""64GB 4GB RAM"",""128GB 4GB RAM"",""256GB 6GB RAM""]"
5a79fbe9b3b69ccac5e86b69d20e1bcaf53ab861fbd02dbd347e2b61381d930b,microSDXC (dedicated slot),,"[""64GB 4GB RAM""]"
5b6351568cb2d7420f79e745bd7c52f43493747d3b908b88ae54fe9e4146e6ef,microSDXC (dedicated slot),,"[""128GB 4GB RAM""]"
adf47cb638c2e72bfb1577a2af1a2a2f286f574ba6629c529e3ecd0b1d08614f,microSDXC (dedicated slot),,"[""64GB 4GB RAM""]"
0a8e2eed287552e453b18029eb4e3892afb675f09f6388572bcaafd1bfbec7b9,microSDXC,,"[""128GB 4GB RAM"",""128GB 6GB RAM"",""256GB 8GB RAM""]"
379c86312a94015ddf1b443c35488922b573fea0fd72747a8e3fd3febd2d3e66,microSDXC (uses shared SIM slot),,"[""64GB 4GB RAM"",""128GB 4GB RAM"",""128GB 6GB RAM""]"
741f2c4dbc67d804a52074c56d66d8e46d59c526fb892ca1e114eef6d49d7d6f,microSDXC,,"[""32GB 3GB RAM"",""64GB 4GB RAM""]"
e20223af7a9456010571420458f02cdafde148ae5e15b10d7313d532d9702e80,microSDXC (dedicated slot),eMMC 5.1,"[""32GB 3GB RAM"",""64GB 4GB RAM""]"
17c495b43d5ce4abcceb8a4b89e559b28f8143702ef2f097e6948f4f62e93fa6,microSDXC (dedicated slot),eMMC 5.1,"[""64GB 4GB RAM"",""128GB 4GB RAM""]"
335b890270c2b689f33502cb15cb39f69d546b4e5f6f41a99d0eb3815ba012db,microSDXC,,"[""128GB 6GB RAM""]"
9625afae43e353d015a88b9a3df07b94e0f46584385c945039674f5d92861aa4,No,UFS 2.2 - 128GB | UFS 3.0 - 256GB,"[""128GB 6GB RAM"",""128GB 8GB RAM"",""256GB 8GB RAM""]"
222fa9903f2cf938f8b1f467243d5d729a8d3645f99f5cf1396a2c03269a6ae8,Unspecified,,"[""128GB 6GB RAM""]"
